,bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
856,mountain,steel,700.05,66.37,27.06,lead acid,310,6.74
857,folding,steel,573.69,36.23,27.86,nimh,148,9.17
858,road,aluminum,327.26,66.96,25.1,lead acid,254,5.15
859,standard,carbon fiber,482.44,66.92,22.35,nimh,232,6.52
860,mountain,steel,728.86,34.14,16.09,nimh,239,8.34
861,folding,steel,290.65,44.15,32.19,lead acid,176,4.71
862,standard,steel,393.0,45.04,23.23,li-ion,257,7.61
863,road,aluminum,479.14,53.33,26.24,nimh,313,6.13
864,folding,carbon fiber,654.73,60.59,27.0,li-ion,177,7.93
865,folding,carbon fiber,280.74,57.78,25.84,nimh,282,5.2
866,standard,carbon fiber,741.77,70.63,23.45,li-ion,279,8.51
867,folding,steel,474.64,52.78,27.12,nimh,184,6.96
868,mountain,carbon fiber,313.76,43.57,24.49,li-ion,303,5.54
869,mountain,aluminum,495.65,86.22,26.12,other,226,9.37
870,folding,carbon fiber,642.72,52.35,26.89,lead acid,292,6.14
871,road,steel,532.57,61.37,19.71,nimh,230,5.91
872,folding,carbon fiber,392.4,54.71,23.33,nimh,230,7.49
873,standard,aluminum,767.28,52.02,26.13,lead acid,247,8.52
874,folding,steel,206.6,72.78,24.43,nimh,108,5.98
875,standard,steel,585.99,56.37,19.47,lead acid,311,5.39
876,road,aluminum,258.83,64.66,16.62,lead acid,277,3.61
877,mountain,steel,464.73,65.15,27.88,other,303,7.49
878,road,steel,511.86,56.17,32.15,lead acid,250,5.67
879,folding,aluminum,603.4,57.46,31.03,nimh,231,6.51
880,mountain,aluminum,682.94,87.68,17.57,lead acid,194,6.69
881,road,aluminum,695.85,70.83,30.73,other,265,8.44
882,mountain,carbon fiber,246.22,71.3,29.49,lead acid,286,7.58
883,folding,carbon fiber,365.68,82.96,19.07,li-ion,253,5.61
884,standard,carbon fiber,564.08,63.11,34.81,lead acid,216,7.37
885,road,carbon fiber,714.46,77.73,28.48,lead acid,344,6.85
886,mountain,carbon fiber,205.1,50.48,23.78,li-ion,335,7.12
887,road,carbon fiber,742.37,72.1,25.8,li-ion,265,8.68
888,road,steel,775.99,45.65,27.62,li-ion,300,10.59
889,folding,aluminum,505.85,61.06,27.22,lead acid,255,3.65
890,mountain,aluminum,288.84,44.62,25.07,li-ion,205,6.15
891,road,steel,679.04,52.5,35.61,lead acid,197,7.33
892,mountain,aluminum,345.87,73.46,32.62,lead acid,208,5.78
893,mountain,steel,316.76,53.18,21.3,lead acid,183,4.15
894,folding,steel,359.08,40.28,12.85,lead acid,309,7.54
895,standard,steel,612.71,69.78,19.03,li-ion,260,3.1
896,road,steel,489.34,64.46,26.42,nimh,309,8.41
897,standard,carbon fiber,418.81,42.77,30.33,li-ion,259,6.3
898,road,steel,447.62,77.7,27.95,lead acid,232,7.44
899,mountain,steel,417.61,52.95,13.83,nimh,226,7.11
900,mountain,aluminum,564.98,22.96,22.21,lead acid,234,7.42
901,road,steel,630.12,63.9,22.18,nimh,144,7.07
902,road,aluminum,350.08,59.66,28.6,nimh,292,5.22
903,folding,carbon fiber,261.83,93.33,25.18,nimh,234,4.35
904,road,carbon fiber,661.93,68.39,27.4,lead acid,120,3.79
905,mountain,aluminum,735.17,63.58,18.34,nimh,224,4.89
906,standard,carbon fiber,481.24,75.53,33.57,li-ion,214,9.7
907,mountain,steel,720.76,45.75,34.22,nimh,285,9.86
908,folding,steel,656.53,54.28,23.01,lead acid,248,9.86
909,road,steel,770.29,54.97,24.54,lead acid,190,7.62
910,road,steel,723.16,57.83,25.0,li-ion,222,5.89
911,road,steel,485.44,35.33,13.11,nimh,298,4.13
912,folding,carbon fiber,209.3,35.21,24.03,li-ion,276,6.4
913,road,carbon fiber,260.33,56.85,16.33,lead acid,246,6.62
914,road,aluminum,311.96,33.87,17.29,other,248,6.81
915,folding,steel,424.51,63.44,27.57,nimh,232,8.23
916,mountain,carbon fiber,676.04,69.19,32.98,lead acid,296,6.23
917,road,carbon fiber,224.61,58.49,28.23,lead acid,182,6.28
918,standard,steel,588.69,45.56,24.8,lead acid,270,7.22
919,standard,steel,671.24,85.63,27.66,li-ion,199,7.09
920,folding,steel,253.43,56.85,20.97,li-ion,271,6.14
921,mountain,aluminum,285.54,61.35,24.07,nimh,185,3.16
922,standard,carbon fiber,284.04,52.18,29.41,nimh,287,3.83
923,road,steel,285.84,64.98,30.89,li-ion,353,7.11
924,standard,carbon fiber,389.99,42.23,23.17,nimh,213,5.84
925,mountain,aluminum,573.39,34.39,18.57,lead acid,228,4.03
926,road,carbon fiber,727.96,90.78,19.45,other,334,7.9
927,road,carbon fiber,559.88,52.65,31.91,lead acid,293,8.16
928,standard,aluminum,282.84,51.55,23.6,lead acid,251,4.3
929,mountain,carbon fiber,490.25,33.65,25.78,nimh,260,7.65
930,road,aluminum,335.37,56.84,24.75,li-ion,298,4.32
931,folding,aluminum,455.13,57.96,25.67,lead acid,207,6.35
932,mountain,carbon fiber,203.0,75.96,15.3,lead acid,313,7.08
933,mountain,aluminum,490.55,72.37,25.0,nimh,271,4.42
934,road,steel,427.51,64.72,19.06,nimh,259,4.33
935,folding,steel,497.45,66.59,19.43,li-ion,234,6.38
936,road,carbon fiber,460.83,84.48,25.2,li-ion,227,7.02
937,road,carbon fiber,712.66,43.52,24.09,lead acid,296,7.57
938,standard,aluminum,640.02,41.55,19.24,nimh,239,7.94
939,mountain,carbon fiber,263.63,40.17,21.24,lead acid,287,5.56
940,folding,aluminum,373.19,70.48,19.07,li-ion,293,6.7
941,standard,carbon fiber,511.26,65.5,32.12,nimh,233,6.25
942,folding,aluminum,247.12,80.94,25.56,nimh,271,7.66
943,folding,steel,613.31,41.47,27.39,nimh,251,6.91
944,road,aluminum,231.52,40.04,30.36,lead acid,220,3.13
945,road,aluminum,751.08,60.29,19.46,li-ion,311,8.35
946,road,steel,437.42,99.52,27.74,li-ion,255,4.57
947,standard,steel,415.21,82.69,25.94,nimh,257,7.03
948,mountain,carbon fiber,566.48,54.64,29.29,li-ion,249,7.21
949,standard,aluminum,373.79,48.66,22.92,li-ion,317,4.83
950,standard,steel,575.79,52.85,24.09,other,187,5.55
951,folding,aluminum,244.12,47.63,21.54,li-ion,199,5.34
952,mountain,steel,413.41,52.55,31.99,nimh,222,4.1
953,folding,aluminum,416.11,83.12,21.65,li-ion,312,7.25
954,standard,carbon fiber,683.24,67.71,28.03,li-ion,182,5.33
955,folding,carbon fiber,512.46,74.48,17.93,nimh,270,5.53
956,folding,steel,586.29,73.7,27.3,lead acid,241,5.77
957,mountain,steel,774.49,44.64,17.18,nimh,235,7.81
958,folding,steel,547.87,50.07,21.78,li-ion,211,7.76
959,mountain,aluminum,359.98,41.11,27.7,li-ion,289,6.03
960,road,aluminum,691.05,63.37,27.63,nimh,313,8.34
961,road,carbon fiber,791.3,74.09,22.18,li-ion,258,6.12
962,standard,aluminum,274.14,63.49,19.59,li-ion,220,4.28
963,standard,carbon fiber,374.69,53.45,18.77,nimh,291,4.87
964,standard,steel,702.75,78.8,22.52,other,212,7.38
965,standard,aluminum,578.79,59.62,21.65,li-ion,226,5.72
966,standard,carbon fiber,257.63,54.82,20.19,li-ion,314,6.06
967,road,carbon fiber,250.73,50.09,33.06,lead acid,297,6.64
968,mountain,aluminum,389.39,65.13,27.55,li-ion,324,7.73
969,road,carbon fiber,387.29,77.67,18.84,other,258,5.01
970,standard,steel,284.64,59.85,17.13,nimh,242,5.68
971,mountain,aluminum,637.02,95.76,14.56,li-ion,223,6.88
972,folding,steel,301.45,46.57,22.88,lead acid,202,3.66
973,mountain,steel,316.46,59.75,26.07,other,313,3.94
974,road,aluminum,425.11,74.54,29.45,lead acid,298,6.94
975,mountain,steel,244.72,55.59,20.22,nimh,293,3.92
976,folding,aluminum,365.38,22.31,25.0,li-ion,314,4.98
977,mountain,carbon fiber,206.9,47.93,30.13,nimh,252,7.05
978,mountain,steel,286.14,86.93,25.0,lead acid,339,3.73
979,folding,aluminum,692.25,37.84,21.25,li-ion,255,3.41
980,folding,carbon fiber,734.57,65.24,12.82,lead acid,347,6.69
981,folding,carbon fiber,673.34,38.41,25.0,lead acid,276,8.9
982,mountain,carbon fiber,626.81,39.09,20.48,lead acid,244,5.62
983,standard,aluminum,338.67,39.57,25.0,nimh,236,3.92
984,folding,steel,753.48,46.24,23.71,lead acid,234,7.93
985,standard,carbon fiber,582.39,50.15,32.62,li-ion,206,6.38
986,folding,aluminum,354.28,63.17,31.56,nimh,212,6.32
987,folding,carbon fiber,615.41,64.39,17.31,li-ion,188,6.18
988,standard,carbon fiber,746.27,44.37,21.9,li-ion,297,6.52
989,folding,steel,586.89,48.07,25.85,lead acid,267,4.06
990,standard,steel,226.11,44.68,21.76,nimh,268,6.0
991,mountain,steel,457.53,86.58,24.16,li-ion,274,4.39
992,mountain,steel,791.6,75.38,22.23,nimh,256,7.94
993,standard,steel,635.22,53.02,21.03,li-ion,366,8.58
994,road,steel,778.69,37.05,26.06,lead acid,268,9.5
995,standard,aluminum,402.6,42.8,18.73,lead acid,277,4.97
996,mountain,steel,399.3,87.05,19.02,lead acid,300,7.51
997,folding,steel,777.79,73.54,28.52,li-ion,251,8.57
998,folding,steel,588.09,70.41,21.99,li-ion,247,7.93
999,mountain,steel,628.61,56.66,33.27,lead acid,247,6.17
1000,folding,steel,396.6,50.6,17.52,li-ion,207,7.31
1001,mountain,aluminum,469.23,49.67,22.07,li-ion,232,5.93
1002,folding,aluminum,558.98,65.43,16.97,lead acid,228,6.47
1003,road,steel,520.26,56.78,25.52,lead acid,236,7.75
1004,mountain,aluminum,476.14,48.49,22.84,li-ion,239,7.3
1005,road,steel,721.66,63.51,26.36,nimh,176,7.1
1006,mountain,steel,375.29,50.13,26.52,lead acid,209,4.5
1007,folding,steel,761.28,52.58,29.22,lead acid,247,8.84
1008,folding,carbon fiber,643.92,47.46,24.01,nimh,261,7.41
1009,mountain,steel,229.11,31.98,32.47,li-ion,176,6.56
1010,folding,aluminum,363.28,33.45,25.38,lead acid,176,7.59
1011,mountain,aluminum,415.51,83.56,24.19,nimh,270,7.07
1012,standard,steel,728.26,79.99,24.79,lead acid,242,8.21
1013,road,carbon fiber,557.48,41.7,28.94,nimh,251,6.24
1014,folding,aluminum,360.28,39.88,25.73,nimh,185,6.61
1015,mountain,steel,725.86,62.15,28.99,lead acid,338,7.22
1016,standard,steel,670.94,78.11,35.35,nimh,307,8.96
1017,mountain,carbon fiber,678.14,63.69,25.04,lead acid,306,5.68
1018,mountain,steel,370.49,75.35,21.95,li-ion,231,6.77
1019,mountain,carbon fiber,601.3,73.53,20.86,lead acid,248,6.81
1020,folding,steel,766.38,74.6,32.5,li-ion,365,10.02
1021,folding,aluminum,659.53,59.09,24.83,lead acid,242,8.78
1022,standard,aluminum,335.67,60.78,24.99,nimh,377,3.73
1023,standard,aluminum,609.4,85.48,20.97,li-ion,322,7.36
1024,mountain,aluminum,503.15,76.56,21.88,nimh,366,3.69
1025,folding,steel,264.23,45.77,26.19,li-ion,231,6.67
1026,mountain,aluminum,584.19,70.83,37.77,nimh,222,7.48
1027,standard,steel,501.95,52.87,20.04,nimh,252,4.81
1028,road,aluminum,287.34,72.18,28.64,other,230,5.42
1029,standard,steel,311.06,52.83,22.43,lead acid,235,6.92
1030,standard,steel,361.18,47.59,21.43,lead acid,370,6.28
1031,mountain,steel,303.85,39.06,15.13,lead acid,163,6.4
1032,mountain,steel,604.0,43.22,30.65,lead acid,244,7.25
1033,folding,steel,243.52,75.87,31.18,li-ion,257,4.44
1034,standard,steel,554.18,70.37,21.6,nimh,190,6.17
1035,folding,carbon fiber,625.01,57.45,25.53,lead acid,172,6.46
1036,standard,steel,252.83,20.0,22.54,lead acid,280,5.9
1037,road,aluminum,602.5,73.34,17.73,li-ion,255,8.35
1038,mountain,steel,358.78,71.81,25.99,other,335,7.81
1039,mountain,aluminum,722.26,46.82,25.97,li-ion,193,8.27
1040,road,steel,296.35,86.29,20.93,other,230,6.31
1041,mountain,steel,722.86,51.77,36.25,lead acid,227,8.18
1042,road,steel,772.69,62.44,19.95,lead acid,286,7.68
1043,mountain,aluminum,664.63,54.6,23.94,nimh,267,8.26
1044,standard,aluminum,409.2,38.64,27.18,lead acid,282,4.14
1045,folding,carbon fiber,295.75,65.7,30.31,nimh,222,4.41
1046,standard,carbon fiber,522.66,68.19,14.86,lead acid,209,5.82
1047,folding,steel,466.23,44.5,23.96,li-ion,279,6.07
1048,mountain,carbon fiber,293.05,20.85,25.72,nimh,241,7.58
1049,road,aluminum,516.66,55.07,25.77,li-ion,339,6.85
1050,mountain,steel,692.55,28.34,26.25,li-ion,311,7.2
1051,standard,aluminum,344.07,52.93,21.25,li-ion,316,4.88
1052,standard,steel,603.1,59.44,22.54,li-ion,300,5.6
1053,folding,aluminum,668.83,62.53,17.57,lead acid,246,7.39
1054,road,carbon fiber,475.54,28.05,27.19,lead acid,314,6.72
1055,mountain,carbon fiber,549.37,66.8,28.47,lead acid,258,7.78
1056,folding,aluminum,755.58,37.48,34.59,li-ion,200,6.9
1057,mountain,carbon fiber,639.12,59.32,27.98,lead acid,257,8.25
1058,mountain,carbon fiber,496.55,64.15,36.28,nimh,201,7.06
1059,folding,aluminum,206.0,42.77,22.79,li-ion,217,5.39
1060,standard,carbon fiber,384.59,55.75,22.27,lead acid,341,4.94
1061,mountain,steel,396.0,51.49,20.5,nimh,314,4.57
1062,road,carbon fiber,661.63,71.69,15.55,li-ion,299,5.88
1063,road,carbon fiber,212.31,54.93,27.75,li-ion,287,6.72
1064,folding,steel,353.38,70.07,30.28,nimh,289,4.55
1065,mountain,aluminum,637.92,55.35,21.96,li-ion,211,7.09
1066,mountain,carbon fiber,750.78,68.26,30.76,lead acid,208,5.71
1067,standard,steel,452.73,85.63,23.58,nimh,265,5.24
1068,standard,steel,608.8,70.2,25.05,nimh,272,6.13
1069,standard,steel,263.93,21.42,25.0,li-ion,210,4.66
1070,mountain,carbon fiber,603.7,43.95,23.69,li-ion,251,5.9
1071,mountain,aluminum,619.01,65.5,16.16,nimh,286,7.12
1072,standard,carbon fiber,625.31,43.12,28.07,lead acid,237,7.93
1073,mountain,carbon fiber,298.15,53.61,23.01,lead acid,194,5.06
1074,standard,steel,488.14,57.87,10.81,li-ion,249,7.37
1075,road,carbon fiber,607.6,56.72,27.75,li-ion,292,5.24
1076,standard,carbon fiber,717.16,114.5,21.04,other,264,5.45
1077,folding,carbon fiber,383.39,64.03,29.97,lead acid,217,5.96
1078,mountain,carbon fiber,471.94,66.99,19.31,nimh,228,6.66
1079,folding,carbon fiber,212.61,56.24,15.16,nimh,227,7.66
1080,road,steel,605.8,80.28,22.69,nimh,254,8.61
1081,folding,carbon fiber,649.92,53.9,28.55,lead acid,351,7.18
1082,mountain,steel,371.09,76.33,32.2,lead acid,206,6.97
1083,mountain,aluminum,389.09,49.19,16.87,li-ion,280,8.83
1084,folding,aluminum,758.58,59.89,28.61,lead acid,304,7.03
1085,standard,aluminum,419.11,64.55,27.95,lead acid,229,7.16
1086,standard,carbon fiber,773.59,57.05,27.57,li-ion,254,5.9
1087,standard,aluminum,448.82,57.85,21.91,lead acid,341,6.13
1088,folding,carbon fiber,564.68,60.88,26.63,lead acid,344,7.39
1089,standard,steel,492.95,73.16,28.34,li-ion,244,5.83
1090,mountain,carbon fiber,477.04,47.06,30.46,lead acid,264,7.83
1091,folding,carbon fiber,332.37,64.67,26.53,li-ion,251,6.2
1092,mountain,steel,685.94,58.65,25.61,nimh,220,7.04
1093,folding,steel,723.76,54.06,26.17,nimh,292,6.26
1094,road,aluminum,665.83,49.12,32.76,nimh,338,7.07
1095,road,aluminum,207.8,63.19,40.16,li-ion,305,7.93
1096,mountain,steel,200.9,50.31,20.67,nimh,223,6.44
1097,folding,aluminum,440.72,79.28,18.56,lead acid,196,5.09
1098,folding,carbon fiber,792.8,48.75,22.03,lead acid,178,6.17
1099,road,aluminum,730.07,84.68,28.16,li-ion,151,7.64
1100,folding,steel,278.34,54.04,21.74,li-ion,286,3.95
1101,mountain,steel,228.21,64.82,25.0,nimh,247,5.97
1102,folding,aluminum,351.28,51.46,23.58,lead acid,375,7.2
1103,road,aluminum,294.85,46.12,18.83,li-ion,229,6.16
1104,road,carbon fiber,637.62,80.87,20.98,li-ion,288,8.59
1105,folding,steel,372.59,66.84,32.09,nimh,311,6.94
1106,mountain,carbon fiber,675.74,60.99,24.18,lead acid,308,8.13
1107,standard,steel,445.82,34.91,25.82,nimh,275,7.44
1108,standard,aluminum,543.97,85.91,33.45,nimh,141,5.89
1109,standard,carbon fiber,474.94,59.73,24.97,li-ion,226,7.28
1110,folding,steel,450.03,73.46,21.39,lead acid,284,5.47
1111,standard,steel,610.61,20.0,23.2,li-ion,157,7.57
1112,standard,carbon fiber,262.13,60.99,30.2,lead acid,266,5.24
1113,standard,carbon fiber,522.96,65.51,28.49,li-ion,226,4.03
1114,folding,aluminum,794.0,75.23,26.77,nimh,318,10.37
1115,standard,carbon fiber,478.84,60.78,28.96,nimh,218,6.06
1116,road,aluminum,515.46,53.2,20.87,nimh,243,5.81
1117,road,carbon fiber,516.36,67.11,25.0,li-ion,230,8.02
1118,road,steel,799.1,49.38,25.8,nimh,316,7.77
1119,standard,carbon fiber,676.34,41.61,23.14,li-ion,244,7.79
1120,mountain,steel,233.02,65.51,34.82,lead acid,241,5.77
1121,folding,steel,299.05,68.45,22.5,li-ion,147,4.9
1122,road,steel,531.07,55.72,19.42,lead acid,213,9.87
1123,road,steel,534.37,75.4,24.36,lead acid,175,5.1
1124,mountain,steel,544.87,67.52,27.51,nimh,260,5.46
1125,standard,aluminum,282.24,45.63,24.79,nimh,198,8.28
1126,road,steel,655.33,59.28,20.81,li-ion,179,6.74
1127,folding,steel,676.64,64.27,28.52,lead acid,235,7.47
1128,mountain,aluminum,306.85,58.46,23.83,nimh,241,5.01
1129,folding,carbon fiber,250.13,51.7,33.35,nimh,213,3.34
1130,folding,steel,594.4,66.94,32.3,li-ion,176,5.57
1131,road,steel,235.12,69.79,27.02,nimh,223,2.94
1132,road,carbon fiber,601.0,56.95,31.13,li-ion,256,9.29
1133,road,carbon fiber,650.23,62.86,14.42,lead acid,248,6.16
1134,road,steel,780.19,48.33,22.26,li-ion,229,9.74
1135,standard,aluminum,450.63,66.56,25.0,other,299,5.43
1136,road,steel,552.38,51.59,30.33,lead acid,221,5.12
1137,mountain,steel,227.91,67.75,30.51,li-ion,251,4.49
1138,standard,carbon fiber,307.45,47.51,28.61,other,286,4.5
1139,standard,aluminum,653.53,81.05,26.14,li-ion,308,8.12
1140,mountain,carbon fiber,407.7,67.5,19.33,li-ion,180,6.11
1141,standard,carbon fiber,580.29,52.21,32.19,li-ion,170,7.18
1142,mountain,aluminum,372.29,62.23,23.43,nimh,217,7.75
1143,standard,aluminum,681.14,84.91,31.81,nimh,225,5.74
1144,folding,aluminum,786.49,59.97,22.1,nimh,248,6.32
1145,folding,aluminum,685.64,66.72,30.93,lead acid,113,7.89
1146,standard,carbon fiber,330.57,71.41,32.39,nimh,281,6.52
1147,road,aluminum,739.07,60.13,33.03,other,283,8.38
1148,folding,aluminum,362.08,56.23,35.48,lead acid,254,5.71
1149,standard,carbon fiber,712.96,40.07,30.81,lead acid,362,6.0
1150,folding,carbon fiber,729.76,59.79,29.07,nimh,199,7.0
1151,standard,steel,793.7,53.19,17.03,li-ion,194,8.02
1152,mountain,steel,338.97,49.2,28.48,nimh,222,6.08
1153,standard,aluminum,414.61,79.14,22.55,li-ion,317,5.29
1154,standard,steel,532.87,51.93,32.99,nimh,309,5.48
1155,folding,carbon fiber,623.51,62.11,24.25,lead acid,208,8.5
1156,folding,steel,231.82,73.76,16.87,nimh,295,6.1
1157,mountain,aluminum,500.45,56.76,24.16,li-ion,281,4.33
1158,folding,carbon fiber,764.88,45.55,19.11,li-ion,256,8.07
1159,road,steel,224.01,63.47,28.56,li-ion,280,4.03
1160,standard,aluminum,736.97,68.74,18.91,nimh,277,6.67
1161,folding,carbon fiber,558.68,91.97,28.94,nimh,224,8.55
1162,mountain,steel,776.29,48.79,18.59,li-ion,193,8.65
1163,mountain,carbon fiber,469.83,70.44,22.31,lead acid,267,5.41
1164,road,aluminum,209.0,49.16,27.8,nimh,342,4.71
1165,standard,carbon fiber,202.7,76.59,20.69,li-ion,255,5.32
1166,standard,steel,540.07,56.92,25.83,lead acid,278,4.89
1167,mountain,carbon fiber,539.17,46.25,25.0,other,226,6.07
1168,folding,steel,353.08,64.19,13.81,nimh,271,3.2
1169,standard,carbon fiber,651.13,80.28,24.42,li-ion,231,10.23
1170,mountain,aluminum,371.99,37.4,25.1,li-ion,174,5.13
1171,standard,aluminum,434.42,43.54,21.49,li-ion,321,7.48
1172,road,steel,269.63,47.11,28.04,nimh,310,6.0
1173,mountain,steel,308.95,61.27,24.32,lead acid,309,7.82
1174,road,steel,346.47,77.31,21.14,nimh,158,2.72
1175,road,carbon fiber,668.23,71.09,22.81,li-ion,273,8.95
1176,folding,aluminum,435.02,59.13,24.01,nimh,234,8.92
1177,mountain,steel,635.52,48.45,33.35,lead acid,234,6.76
1178,standard,aluminum,634.32,44.17,31.92,lead acid,228,7.62
1179,folding,carbon fiber,459.63,43.27,18.67,li-ion,232,6.32
1180,mountain,steel,596.5,91.8,25.0,lead acid,230,7.64
1181,road,aluminum,479.44,68.17,25.0,nimh,207,4.82
1182,road,steel,210.81,58.0,32.98,nimh,298,3.28
1183,road,aluminum,424.81,70.58,23.51,lead acid,157,7.48
1184,road,aluminum,606.1,50.08,28.13,li-ion,365,5.25
1185,road,aluminum,769.38,70.35,22.73,lead acid,297,7.4
1186,folding,steel,590.5,57.55,22.73,nimh,264,8.09
1187,standard,steel,672.74,66.44,29.77,li-ion,220,7.44
1188,folding,steel,445.52,52.85,27.63,li-ion,332,6.44
1189,road,carbon fiber,724.96,80.58,21.38,lead acid,150,7.77
1190,road,aluminum,221.01,63.07,26.97,li-ion,306,7.87
1191,mountain,aluminum,540.37,43.85,24.92,nimh,214,5.26
1192,standard,aluminum,274.44,62.73,29.46,li-ion,211,4.82
1193,mountain,carbon fiber,331.47,82.65,28.65,lead acid,304,3.61
1194,folding,aluminum,628.31,93.9,23.51,li-ion,236,6.21
1195,mountain,steel,718.36,54.99,23.91,lead acid,330,8.18
1196,standard,steel,266.33,67.04,33.23,lead acid,230,5.85
1197,road,carbon fiber,340.47,40.34,25.0,li-ion,257,6.48
1198,road,steel,367.48,94.87,28.3,lead acid,236,7.85
1199,road,carbon fiber,364.48,57.68,22.86,lead acid,325,4.38
1200,mountain,aluminum,512.16,58.37,26.67,lead acid,238,6.68
1201,standard,steel,649.32,57.51,18.46,li-ion,252,6.6
1202,mountain,carbon fiber,525.96,28.45,20.59,li-ion,212,5.87
1203,road,carbon fiber,443.42,91.13,29.85,li-ion,314,6.89
1204,mountain,aluminum,541.27,78.44,23.74,nimh,280,8.43
1205,mountain,steel,435.62,54.95,21.22,nimh,281,3.36
1206,road,carbon fiber,677.24,65.99,15.14,nimh,225,6.07
1207,standard,steel,540.97,55.84,15.6,lead acid,293,8.39
1208,mountain,steel,449.72,80.11,22.36,li-ion,295,5.62
1209,standard,steel,665.23,60.82,26.8,lead acid,201,7.96
1210,mountain,aluminum,336.57,68.9,23.08,lead acid,247,5.6
1211,folding,steel,640.62,46.83,25.36,other,249,7.3
1212,mountain,carbon fiber,558.08,51.03,28.04,lead acid,330,7.9
1213,mountain,aluminum,242.62,92.61,22.93,lead acid,321,4.04
1214,standard,steel,761.88,25.39,16.12,li-ion,284,8.0
1215,standard,carbon fiber,694.95,65.98,35.07,li-ion,213,8.2
1216,mountain,steel,209.9,101.32,33.73,lead acid,269,3.39
1217,folding,steel,572.79,36.82,25.88,li-ion,298,3.98
1218,folding,steel,200.0,80.68,25.09,lead acid,287,5.37
1219,mountain,steel,605.2,47.13,24.18,other,164,5.82
1220,standard,carbon fiber,705.75,73.26,27.39,li-ion,244,6.64
1221,standard,steel,278.64,59.48,34.96,nimh,210,8.04
1222,road,carbon fiber,411.01,84.19,26.3,li-ion,289,5.34
1223,mountain,steel,693.75,45.28,17.07,lead acid,233,5.2
1224,standard,carbon fiber,614.81,110.56,25.06,lead acid,177,9.43
1225,road,carbon fiber,318.56,62.3,26.52,lead acid,278,3.91
1226,folding,carbon fiber,210.51,37.54,26.18,li-ion,246,5.35
1227,road,carbon fiber,446.12,59.18,29.45,nimh,204,7.93
1228,standard,aluminum,263.03,45.92,29.57,lead acid,232,7.73
1229,road,carbon fiber,744.47,48.32,24.6,nimh,204,9.87
1230,road,steel,579.39,71.89,18.56,nimh,348,6.43
1231,folding,steel,335.97,77.31,25.0,lead acid,241,5.37
1232,standard,carbon fiber,797.3,62.23,18.18,li-ion,169,7.87
1233,folding,steel,337.17,63.86,22.5,nimh,324,4.38
1234,mountain,steel,302.35,56.67,18.79,other,300,5.63
1235,mountain,carbon fiber,637.32,35.64,35.51,nimh,199,5.46
1236,road,carbon fiber,444.92,44.32,25.76,li-ion,151,7.32
1237,folding,aluminum,664.03,59.4,23.77,li-ion,216,8.95
1238,road,aluminum,582.99,50.33,27.33,nimh,243,5.66
1239,folding,carbon fiber,285.24,69.12,13.13,li-ion,287,6.81
1240,road,aluminum,249.22,52.23,23.65,nimh,229,7.62
1241,road,aluminum,267.23,39.35,24.46,nimh,234,4.02
1242,road,aluminum,236.32,87.22,25.0,nimh,314,4.83
1243,mountain,aluminum,559.58,39.07,28.22,li-ion,169,8.46
1244,mountain,carbon fiber,468.03,88.51,23.23,lead acid,271,5.05
1245,mountain,aluminum,549.07,68.95,23.42,lead acid,209,5.18
1246,folding,steel,472.24,67.91,30.32,li-ion,272,7.35
1247,folding,aluminum,459.93,90.52,24.61,lead acid,241,5.38
1248,road,steel,438.32,55.32,32.44,li-ion,290,6.37
1249,standard,steel,641.52,73.06,29.93,nimh,286,7.58
1250,road,steel,271.74,53.55,28.86,li-ion,275,4.26
1251,standard,steel,702.45,58.05,24.21,lead acid,302,7.26
1252,folding,carbon fiber,498.05,62.42,15.97,other,315,6.52
1253,mountain,aluminum,569.18,86.76,22.9,lead acid,264,6.32
1254,mountain,aluminum,748.97,88.23,32.54,nimh,230,9.61
1255,standard,carbon fiber,375.89,54.49,20.11,lead acid,202,8.25
1256,folding,aluminum,727.66,65.56,30.24,nimh,220,9.57
1257,road,steel,394.2,39.72,20.19,nimh,229,5.46
1258,mountain,aluminum,393.6,59.08,31.24,nimh,215,7.9
1259,folding,steel,725.26,51.52,31.33,nimh,298,6.97
1260,folding,aluminum,412.51,73.53,24.26,lead acid,261,4.46
1261,mountain,aluminum,405.6,50.16,21.94,lead acid,374,7.54
1262,folding,carbon fiber,484.54,76.12,24.31,li-ion,228,6.67
1263,road,aluminum,757.98,70.4,19.9,nimh,279,8.89
1264,standard,aluminum,705.45,66.58,32.02,nimh,222,10.15
1265,standard,steel,673.04,63.82,29.0,nimh,271,6.35
1266,folding,aluminum,747.77,85.17,25.0,lead acid,221,6.69
1267,standard,steel,708.75,26.5,24.97,li-ion,230,6.2
1268,folding,carbon fiber,314.96,55.84,22.85,other,221,3.08
1269,road,carbon fiber,341.37,48.86,34.26,nimh,264,7.69
1270,road,carbon fiber,739.37,63.36,23.93,lead acid,220,6.21
1271,folding,aluminum,716.86,66.11,20.41,lead acid,273,10.24
1272,mountain,steel,475.24,60.05,28.93,lead acid,249,7.13
1273,folding,steel,519.06,55.9,17.99,li-ion,243,6.17
1274,mountain,aluminum,221.61,47.25,22.13,lead acid,245,6.1
1275,road,carbon fiber,724.36,55.89,27.37,nimh,215,7.75
1276,road,carbon fiber,537.07,63.52,20.65,nimh,207,6.05
